employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id,rnk
200,Jennifer,Whalen,jennifer.whalen@sqltutorial.org,515-123-4444,1987-09-17,3,4400.00,101,1,1
201,Michael,Hartstein,michael.hartstein@sqltutorial.org,515-123-5555,1996-02-17,10,13000.00,100,2,1
202,Pat,Fay,pat.fay@sqltutorial.org,603-123-6666,1997-08-17,11,6000.00,201,2,2
114,Den,Raphaely,den.raphaely@sqltutorial.org,515-127-4561,1994-12-07,14,11000.00,100,3,1
115,Alexander,Khoo,alexander.khoo@sqltutorial.org,515-127-4562,1995-05-18,13,3100.00,114,3,2
203,Susan,Mavris,susan.mavris@sqltutorial.org,515-123-7777,1994-06-07,8,6500.00,101,4,1
121,Adam,Fripp,adam.fripp@sqltutorial.org,650-123-2234,1997-04-10,19,8200.00,100,5,1
120,Matthew,Weiss,matthew.weiss@sqltutorial.org,650-123-1234,1996-07-18,19,8000.00,100,5,2
103,Alexander,Hunold,alexander.hunold@sqltutorial.org,590-423-4567,1990-01-03,9,9000.00,102,6,1
104,Bruce,Ernst,bruce.ernst@sqltutorial.org,590-423-4568,1991-05-21,9,6000.00,103,6,2
204,Hermann,Baer,hermann.baer@sqltutorial.org,515-123-8888,1994-06-07,12,10000.00,101,7,1
145,John,Russell,john.russell@sqltutorial.org,NULL,1996-10-01,15,14000.00,100,8,1
146,Karen,Partners,karen.partners@sqltutorial.org,NULL,1997-01-05,15,13500.00,100,8,2
100,Steven,King,steven.king@sqltutorial.org,515-123-4567,1987-06-17,4,24000.00,NULL,9,1
101,Neena,Kochhar,neena.kochhar@sqltutorial.org,515-123-4568,1989-09-21,5,17000.00,100,9,2
102,Lex,"De Haan","lex.de haan@sqltutorial.org",515-123-4569,1993-01-13,5,17000.00,100,9,2
108,Nancy,Greenberg,nancy.greenberg@sqltutorial.org,515-124-4569,1994-08-17,7,12000.00,101,10,1
109,Daniel,Faviet,daniel.faviet@sqltutorial.org,515-124-4169,1994-08-16,6,9000.00,108,10,2
205,Shelley,Higgins,shelley.higgins@sqltutorial.org,515-123-8080,1994-06-07,2,12000.00,101,11,1
206,William,Gietz,william.gietz@sqltutorial.org,515-123-8181,1994-06-07,1,8300.00,205,11,2
